,total_bf,age,years_after_28,primary_position,throws,sp_pct_,total_bf_,sp_pct,whip_reg,baa_reg,k_rate_pitcher_reg,bb_rate_pitcher_reg,inplay_ratio_pitcher_reg,pitcher_avg_exp_ba_reg,babip_pitcher_reg,fly_balls_ratio_pitcher_reg,ground_balls_ratio_pitcher_reg,line_drives_ratio_pitcher_reg,popups_ratio_pitcher_reg,hr_fb_pct_pitcher_reg,avg_bf_per_outing_reg,pitcher_avg_xwoba_reg,pitcher_avg_woba_reg,zone_chase_pct_reg,avg_fb_vel_reg
0,0.0,23.0,0.0,reliever,R,0.0,56.25,2.883526987840631,1.6340013543629475,0.24975699760894918,0.21155654469792293,0.09707592610709262,0.17385017624041071,0.34456505860663555,0.32987388528335193,1.1945879541132718,1.3446607699856628,1.1778915147907938,1.0499383628667083,0.2076229197787775,3.7069882844851434,0.3905633943507676,0.3556785470436181,0.616499314530187,92.97339349731963
1,218.0,29.0,1.0,reliever,L,0.0,26.625,2.883526987840631,1.1486602354849555,0.1635609835114037,0.2713940984268073,0.09315100313231381,0.1450774724123076,0.313023279471393,0.2532283605431378,1.305723705594874,1.6675248114346828,1.2733867282509443,0.25482133519639155,0.21930921221976674,2.8751947011767602,0.34964178230902687,0.2922013142127167,0.6270717597852573,93.00110055739117
2,809.0,29.0,1.0,starter,L,100.0,731.0,95.85335336079977,1.2548591890215075,0.19851374413234307,0.22997980331193318,0.0864404022550747,0.18296627092766798,0.30477339077745347,0.279968400916035,3.8047904193509168,20.12497427170175,5.473927799077616,1.0822755016803134,0.21528450578777572,13.94091566377081,0.3249739354520323,0.28943901993143706,0.6355851661215033,87.75293554905605
3,278.0,28.0,0.0,reliever,R,6.711409395973153,241.75,2.883526987840631,1.0194441271735895,0.19725477650880704,0.24805608252380051,0.046893213673999665,0.17482279154059532,0.31212700843564894,0.26223379089355153,1.0483019744252802,1.0855540918404127,1.0441574682104808,1.0123960475201048,0.0956938869585122,4.561511782876251,0.3454914567528198,0.2691802323453209,0.6302067481705974,96.55528752466988
4,282.0,28.0,0.0,reliever,R,0.0,60.625,2.883526987840631,2.3428635186095272,0.26358272157787643,0.2184051560037757,0.1591756262713817,0.15103293026159773,0.34590117582698665,0.4015897759243257,1.1816154238390535,1.3216833853199519,1.1660320804714075,1.0466091386755942,0.32076551877765264,4.75509382742423,0.36718737318892153,0.4085274904682235,0.5912933142899435,95.52250694670471
5,147.0,25.0,0.0,both_starter_reliever,R,66.66666666666666,4.375,55.50771639714261,2.641343276332532,0.3235886081510673,0.2399795469558388,0.11036991769966634,0.1556579597932693,0.3479843721666423,0.46738108333709427,4.367142045020957,7.415068419357893,3.8813666987005853,1.2531828131909803,0.3353128181322402,7.212232722700953,0.3874087877212014,0.48251675232301444,0.6500625740473964,93.59107806636644
6,591.0,26.0,0.0,both_starter_reliever,R,56.56565656565655,418.375,55.50771639714261,1.2292155772434412,0.17604639669658398,0.24859712607667192,0.10548501441614255,0.15689258581114726,0.290377832725052,0.24416430264357994,11.63966213562934,16.486604703705886,9.62683864848023,5.040740688216512,0.1501633755831398,9.59342115565473,0.34284006145528984,0.2911856143206771,0.6165696475389233,95.44250910368561
7,0.0,26.0,1.0,reliever,R,0.0,42.0,2.883526987840631,1.5045615669328054,0.22175778943719454,0.19325188005846347,0.10523192497998773,0.1736602588225021,0.3048255776031646,0.27577925082284677,24.48762791892421,22.895967492800466,14.63608202725396,9.107632440969912,0.183397481153785,4.099532604781171,0.34502901432372945,0.3410290757867482,0.6078455628819677,95.1981844854579
8,0.0,27.0,0.0,reliever,R,0.0,81.125,2.883526987840631,1.8835503740163213,0.25019002732711926,0.24043934238313827,0.10387112306600199,0.15589722355855073,0.3687994137440732,0.3347828279749648,1.1383862082953602,1.2451143356937224,1.1265121077612321,0.5638168328079638,0.41652118133449084,3.46505698025794,0.44109429846117165,0.40868437774949523,0.5898134940396318,94.94398076955383
9,84.0,34.0,6.0,reliever,R,0.0,267.0,2.883526987840631,1.2155905720452334,0.18399858861598584,0.275120729274808,0.0944702223311008,0.15106547935951617,0.3009613443316317,0.269058075193479,1.0438180595199922,1.0776120300059626,1.04005829147403,1.0112453114911246,0.14553276040241578,2.6178420309732173,0.34520314990476003,0.29020470082689054,0.6243848882258198,93.02482282574488
10,0.0,29.0,1.0,reliever,L,0.0,15.75,2.883526987840631,1.5109098769740588,0.19506583631557312,0.18471510181917017,0.1299229144125024,0.18375435344504307,0.316488147972321,0.26689680997294646,1.5743861296114645,2.017372152367318,1.5251014593222225,0.38837227593184975,0.19238090778072883,2.7435196349260274,0.33485163207339647,0.3275204572918763,0.5497026449545062,92.41786835554197
